Subject Primary Identifier	Ontology Annotation Subject . Symbol	Base Annotations Subject . Symbol	Subject Background	Subject Zygosity	Ontology Annotation Ontology Term . Identifier	Ontology Annotation Term Name
MGI:5587925	Del(2Nespas-Gnas)1Hju	Del(2Nespas-Gnas)1Hju/+	either: (involves: 129S4/SvJae) or (involves: 129S4/SvJae * C57BL/6J)	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:4440590	Del(4C4-C5)1Lap	Del(4C4-C5)1Lap/+	involves: 129S6/SvEvTac	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:4440590	Del(4C4-C5)1Lap	Del(4C4-C5)1Lap/+	involves: 129S6/SvEvTac	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:3798059	Del(5D5Mit148-Qdpr)2Jcs	Del(5D5Mit148-Qdpr)2Jcs/+	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:3798169	Del(5D5Mit73-D5Mit351)5Jcs	Del(5D5Mit73-D5Mit351)5Jcs/+	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:3798060	Del(5Letm1-D5Mit81)3Jcs	Del(5Letm1-D5Mit81)3Jcs/+	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:6150621	Del(7Chrna7-Fan1)3Arte	Del(7Chrna7-Fan1)3Arte/+	involves: C57BL/6J * C57BL/6NTac	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:3769761	Del(7Herc2-Mkrn3)13FRdni	Del(7Herc2-Mkrn3)13FRdni/+	involves: C57BL/6 * CD-1 * SJL	ht	MP:0002082	postnatal lethality
MGI:3804026	Del(7Ifitm5-Ifitm6)1Masu	Del(7Ifitm5-Ifitm6)1Masu/+	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:3772922	Del(7Ins2-Tel)1Lef	Del(7Ins2-Tel)1Lef/+	involves: 129S1/Sv * 129X1/SvJ * ICR	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:4356429	Del(7Ipw-Snord116)1Jbro	Del(7Ipw-Snord116)1Jbro/+	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:5291501	Del(7Slx1b-Sept1)4Aam	Del(7Slx1b-Sept1)4Aam/+	involves: 129S7/SvEvBrd	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:5291501	Del(7Slx1b-Sept1)4Aam	Del(7Slx1b-Sept1)4Aam/+	involves: 129S7/SvEvBrd * C57BL/6N	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:3655807	Del(7Ube3a-Snrpn)1Alb	Del(7Ube3a-Snrpn)1Alb/+	involves: 129S7/SvEvBrd * C57BL/6J	ht	MP:0002082	postnatal lethality
MGI:3655807	Del(7Ube3a-Snrpn)1Alb	Del(7Ube3a-Snrpn)1Alb/+	involves: 129S7/SvEvBrd * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:4430113	Del(8A4-B3)7H	Del(8A4-B3)7H/+	involves: 101/H * C3H/HeH	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:5583863	Del(8Pcid2-Cul4a)1Ktc	Del(8Pcid2-Cul4a)1Ktc/+	involves: 129S/SvEv * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:5584169	Del(XArmcx5-Nxf3)3Jw	Del(XArmcx5-Nxf3)3Jw/+	involves: 129S4/SvJae * C57BL/6 * FVB/N	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:5297603	Del(XNxf2-Nxf3)1Jw	Del(XNxf2-Nxf3)1Jw/+	involves: 129S4/SvJae * C57BL/6 * FVB	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:94889	Dh	Dh/Dh<+>	Not Specified	ht	MP:0002082	postnatal lethality
MGI:94889	Dh	Dh/Dh<+>	Not Specified	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1298378	Dhcr7	Dhcr7<tm1Fdp>/Dhcr7<tm2Fdp>	involves: 129S4/SvJae	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:1344352	Dido1	Dido1<tm1Cmar>/Dido1<tm2Cmar>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:94900	Dlk1	Dlk1<tm1.2Jvs>/Dlk1<+>	involves: 129P2/OlaHsd * C57BL/6 * FVB/N	ht	MP:0002058	neonatal lethality
MGI:94900	Dlk1	Dlk1<tm1.2Jvs>/Dlk1<+>	involves: 129P2/OlaHsd * C57BL/6 * FVB/N	ht	MP:0002082	postnatal lethality
MGI:104659	Dll1	Dll1<tm1Gos>/Dll1<tm2Gos>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0002081	perinatal lethality
MGI:104659	Dll1	Dll1<tm1Gos>/Dll1<tm2Gos>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6J	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:1859388	Dll4	Dll4<tm1Grid>/Dll4<+>	either: (involves: 129X1/SvJ * Black Swiss) or (involves: 129X1/SvJ * C57BL/6J)	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:1859388	Dll4	Dll4<tm1Jrt>/Dll4<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1859388	Dll4	Dll4<tm1Jrt>/Dll4<+>	involves: 129S1/Sv * 129X1/SvJ * ICR	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1859388	Dll4	Dll4<tm1Nwg>/Dll4<+>	involves: 129S6/SvEvTac * C57BL/6 * C57BL/6NTac	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1859388	Dll4	Dll4<tm1Nwg>/Dll4<+>	involves: 129S6/SvEvTac * C57BL/6NTac * ICR	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:101926	Dlx5	Dlx5<tm1.1Levi>/Dlx5<+>	involves: 129P2/OlaHsd * C57BL/6 * DBA/2	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1919935	Dnajc6	Dnajc6<tm1Legr>/Dnajc6<+>	B6.129-Dnajc6<tm1Legr>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2447763	Dnd1	Dnd1<tm1Na>/Dnd1<+>	129S1.129S6-Dnd1<tm1Na>	ht	MP:0010831	lethality, incomplete penetrance
MGI:2447763	Dnd1	Dnd1<tm1Na>/Dnd1<+>	129S1.129S6-Dnd1<tm1Na>	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:2447763	Dnd1	Dnd1<tm1Na>/Dnd1<Ter>	involves: 129P3/J * 129S6/SvEvTac	ht	MP:0010831	lethality, incomplete penetrance
MGI:94912	Dnmt1	Dnmt1<MommeD2>/Dnmt1<+>	FVB/NJ-Dnmt1<MommeD2>	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1261819	Dnmt3b	Dnmt3b<tm1.1Ics>/Dnmt3b<tm2.1Ics>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1261819	Dnmt3b	Dnmt3b<tm1Enl>/Dnmt3b<tm6Enl>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1261819	Dnmt3b	Dnmt3b<tm1Enl>/Dnmt3b<tm7Enl>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1261819	Dnmt3b	Dnmt3b<tm6Enl>/Dnmt3b<tm7Enl>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1261819	Dnmt3b	Dnmt3b<tm6Enl>/Dnmt3b<tm7Enl>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:2151233	Dph1	Dph1<tm1Bhr>/Dph1<tm2Bhr>	involves: 129/Sv * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:2151233	Dph1	Dph1<tm1Bhr>/Dph1<tm2Bhr>	involves: 129/Sv * C57BL/6	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:5696872	Dpmy	Dpmy/Dpmy<+>	B6NJ;CBA-Dpmy/GrsrJ	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2443967	Dpp9	Dpp9<tm1.1Mdg>/Dpp9<+>	involves: C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2443967	Dpp9	Dpp9<tm1.1Mdg>/Dpp9<+>	involves: C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:94929	Ds	Ds/Ds<+>	involves: 129T1/Sv * DA/Hu * DBA/1J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1196466	Dsg2	Dsg2<tm1Leu>/Dsg2<+>	either: (involves: 129S1/Sv * 129X1/SvJ) or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6)	ht	MP:0011106	embryonic lethality between implantation and somite formation, incomplete penetrance
MGI:1914853	Dusp6	Dusp6<tm1Sms>/Dusp6<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:2387107	Dusp9	Dusp9<tm1Skey>/Dusp9<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:107736	Dync2h1	Dync2h1<Gt(RRM278)Byg>/Dync2h1<lln>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1330299	Dyrk1a	Dyrk1a<tm1Mla>/Dyrk1a<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:107822	Ebp	Ebp<Td>/Ebp<+>	Not Specified	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:107822	Ebp	Ebp<Td>/Ebp<+>	Not Specified	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:105923	Ednra	Ednra<tm1Hku>/Ednra<tm2.1Hku>	involves: 129 * C57BL/6 * ICR	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:105923	Ednra	Ednra<tm1Hku>/Ednra<tm3(Ednrb)Hku>	involves: 129 * C57BL/6 * ICR	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:105923	Ednra	Ednra<tm2.1Hku>/Ednra<tm3(Ednrb)Hku>	involves: 129 * C57BL/6 * ICR	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:105923	Ednra	Ednra<tm2Hku>/Ednra<tm3(Ednrb)Hku>	involves: 129 * C57BL/6 * ICR	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:1913393	Eef1e1	Eef1e1<Gt(OST377244)Lex>/Eef1e1<+>	involves: 129S5/SvEvBrd * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95294	Egfr	Egfr<wa2>/Egfr<Wa5>	involves: BALB/cAnN * C3H/HeN * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95294	Egfr	Egfr<wa2>/Egfr<Wa5>	involves: BALB/cAnN * C3H/HeN * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1351744	Eif3m	Eif3m<tm1Nju>/Eif3m<tm1.1Nju>	involves: 129 * FVB/N	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:95388	Emx2	Emx2<Pdo>/Emx2<tm1Pgr>	involves: 129S1/Sv * 129X1/SvJ * BALB/c * C3H/HeN * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95389	En1	En1<tm1.1(Wnt1)Wrst>/En1<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1916888	Enho	Enho<tm1.1Butl>/Enho<+>	B6.Cg-Enho<tm1.1Butl>	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1276116	Ep300	Ep300<tm1Dli>/Ep300<+>	either: 129S4/SvJae or (involves: 129S4/SvJae * C57BL/6)	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1276116	Ep300	Ep300<tm1Reck>/Ep300<+>	involves: 129P2/OlaHsd	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:1276116	Ep300	Ep300<tm1Reck>/Ep300<+>	involves: 129P2/OlaHsd	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1276116	Ep300	Ep300<tm1Reck>/Ep300<+>	involves: 129P2/OlaHsd	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:103006	Epb41l5	Epb41l5<Gt(AE0088)Wtsi>/Epb41l5<lulu>	involves: C57BL/6J	ht	MP:0006206	embryonic lethality between somite formation and embryo turning
MGI:103006	Epb41l5	Epb41l5<Gt(XC282)Byg>/Epb41l5<lulu>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:95410	Erbb2	Erbb2<tm1Cbm>/Erbb2<tm2.1Cbm>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:95410	Erbb2	Erbb2<tm4(Erbb2)Mul>/Erbb2<tm1Haus>	involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ * BALB/c	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:95410	Erbb2	Erbb2<tm6(Erbb2)Mul>/Erbb2<tm1Haus>	involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ * BALB/c	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:95410	Erbb2	Erbb2<tm7(Erbb2)Mul>/Erbb2<tm1Haus>	involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ * BALB/c	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:5502906	Etn2	Etn2<Sd>/Etn2<+>	involves: Danforth's duplication stock	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:95456	Ets2	Ets2<tm2Rgo>/Ets2<tm1Rgo>	involves: FVB/N	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:95456	Ets2	Ets2<tm2Rgo>/Ets2<tm5.2Rgo>	involves: 129/Sv * C57BL/6 * FVB/N	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:109336	Etv6	Etv6<tm1.1(RUNX1,hsb5)Lvdw>/Etv6<+>	involves: 129P2/OlaHsd * 129S4/SvJaeSor * 129S5/SvEvBrd * C57BL/6J	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:3578139	F10ex	F10ex/F10ex<+>	involves: C3HeB/FeJ * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:88381	F3	F3<tm1Dwr>/F3<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0002082	postnatal lethality
MGI:2388266	Fam20a	Fam20a<tm1Lex>/Fam20a<+>	involves: 129S5/SvEvBrd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1914280	Fancl	Fancl<gcd>/Fancl<tm1Ceb>	involves: 129/Sv * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1914280	Fancl	Fancl<gcd>/Fancl<tm1Ceb>	involves: 129S7/SvEvBrd * C57BL/6J * CBA	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:95485	Fasn	Fasn<tm1Schi>/Fasn<+>	129S7/SvEvBrd-Fasn<tm1Schi>	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95485	Fasn	Fasn<tm1Schi>/Fasn<+>	involves: 129S7/SvEvBrd * C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95486	Fbl	Fbl<Gt(pGT1-3)1Jca>/Fbl<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:2147134	Fbxo11	Fbxo11<Jf>/Fbxo11<Mutt>	involves: BALB/c * C3H/HeN	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1354695	Fbxw7	Fbxw7<tm1.1Iken>/Fbxw7<+>	involves: C57BL/6 * C57BL/6N	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:1916040	Fendrr	Fendrr<tm1Bgh>/Fendrr<tm2Bgh>	involves: 129S6/SvEvTac * C57BL/6	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:95514	Fes	Fes<tm2Mcs>/Fes<+>	chimera involves: 129X1/SvJ * C57BL/6	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:1096383	Fgf15	Fgf15<tm1Sms>/Fgf15<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:99604	Fgf8	Fgf8<tm1.1Mrt>/Fgf8<tm1.2Mrt>	involves: 129P2/OlaHsd	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:99604	Fgf8	Fgf8<tm1.2Mrt>/Fgf8<tm1.4Mrt>	involves: 129P2/OlaHsd	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:99604	Fgf8	Fgf8<tm1Mrc>/Fgf8<tm3Mrc>	involves: 129/Sv * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:104723	Fgf9	Fgf9<Eks>/Fgf9<+>	involves: C57BL/6J * DBA/2J	ht	MP:0011084	lethality at weaning, incomplete penetrance
MGI:95522	Fgfr1	Fgfr1<tm1Jrt>/Fgfr1<tm2Jrt>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95522	Fgfr1	Fgfr1<tm1Jrt>/Fgfr1<tm2Jrt>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95522	Fgfr1	Fgfr1<tm1Jrt>/Fgfr1<tm4Jrt>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:95523	Fgfr2	Fgfr2<tm2.3Dsn>/Fgfr2<+>	involves: 129 * C57BL/6 * FVB/N	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95523	Fgfr2	Fgfr2<tm3Ewj>/Fgfr2<+>	B6.129-Fgfr2<tm3Ewj>	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95524	Fgfr3	Fgfr3<tm4.1Cxd>/Fgfr3<+>	involves: 129S6/SvEvTac	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:95524	Fgfr3	Fgfr3<tm4.1Cxd>/Fgfr3<+>	involves: 129S6/SvEvTac * NIH Black Swiss	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95556	Flna	Flna<tm1.2Caw>/Flna<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95556	Flna	Flna<tm1.2Caw>/Flna<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:95561	Flt4	Flt4<Chy>/Flt4<+>	involves: C3H	ht	MP:0002082	postnatal lethality
MGI:95561	Flt4	Flt4<Chy>/Flt4<tm1Ali>	involves: C3H	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1309996	Fnld	Fnld/Fnld<+>	(C3H/HeH x 101/H)F1	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1347476	Foxa2	Foxa2<tm1Dnl>/Foxa2<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1347476	Foxa2	Foxa2<tm1Jrt>/Foxa2<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0002082	postnatal lethality
MGI:1347476	Foxa2	Foxa2<tm1Jrt>/Foxa2<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:1347476	Foxa2	Foxa2<tm1Jrt>/Foxa2<+>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0002082	postnatal lethality
MGI:1347470	Foxf1	Foxf1<tm1Rhc>/Foxf1<+>	involves: 129P3/J * Black Swiss	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1347470	Foxf1	Foxf1<tm1Rhc>/Foxf1<+>	involves: 129P3/J * Black Swiss * CD-1	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1096329	Foxi1	Foxi1<tm1Sven>/Foxi1<+>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:95583	Fshr	Fshr<tm1Saco>/Fshr<+>	involves: 129/Sv	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95583	Fshr	Fshr<tm1Saco>/Fshr<+>	involves: 129/Sv	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:105979	G6pdx	G6pdx<tm1Luz>/G6pdx<+>	involves: 129S1/Sv * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:108088	Gab1	Gab1<tm1Wbm>/Gab1<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95613	Gabra1	Gabra1<tm1.1Geh>/Gabra1<tm1.1Mjga>	B6J.Cg-Gabra1<tm1.1Geh> Gabra1<tm1.1Mjga>	ht	MP:0002082	postnatal lethality
MGI:95613	Gabra1	Gabra1<tm2.1Geh>/Gabra1<+>	involves: 129X1/SvJ * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95640	Gapdh	Gapdh<M6Neu>/Gapdh<+>	C3.Cg-Gapdh<M6Neu>	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:95640	Gapdh	Gapdh<m4Neu>/Gapdh<+>	C3.Cg-Gapdh<m4Neu>	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:2449057	Gars	Gars<Gt(XM256)6Byg>/Gars<C201R>	involves: 129P2/OlaHsd * BALB/cAnN * C3H/HeH * C57BL/6J	ht	MP:0002080	prenatal lethality
MGI:2449057	Gars	Gars<Gt(XM256)6Byg>/Gars<Nmf249>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:95661	Gata1	Gata1<tm5(GATA3)Sho>/Gata1<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:95661	Gata1	Gata1<tm5(GATA3)Sho>/Gata1<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:95664	Gata4	Gata4<tm1.2Wtp>/Gata4<+>	B6.Cg-Gata4<tm1.2Wtp>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:107516	Gata6	Gata6<tm1Hadj>/Gata6<+>	involves: 129S4/SvJae * C57BL/6  * CD-1	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95668	Gbx2	Gbx2<tm1.1Mrt>/Gbx2<tm1.2Alj>	involves: 129S1/Sv * 129S6/SvEvTac * 129X1/SvJ	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:107430	Gdnf	Gdnf<tm1Lmgd>/Gdnf<+>	either: (involves: 129/Sv) or (involves: 129/Sv * C57BL/6) or (involves: 129/Sv * CD-1)	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:95713	Gja1	Gja1<tm1.1Kwi>/Gja1<tm4Kwi>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95713	Gja1	Gja1<tm1Kdr>/Gja1<tm1.1Kwi>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6 * CBA/J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95713	Gja1	Gja1<tm3Gfi>/Gja1<+>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:95713	Gja1	Gja1<tm8.1Kwi>/Gja1<+>	involves: 129S2/SvPas * BALB/c * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:95720	Gjb2	Gjb2<tm3.2(Gjb1)Kwi>/Gjb2<+>	involves: 129P2/OlaHsd * BALB/c * C57BL/6 * SJL	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:95720	Gjb2	Gjb2<tm3.3(Gjb1)Kwi>/Gjb2<+>	involves: 129P2/OlaHsd * BALB/c * C57BL/6	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:95728	Gli2	Gli2<tm1Alj>/Gli2<tm6.1Alj>	involves: 129/Sv * C57BL/6 * SJL	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:95729	Gli3	Gli3<Mos1>/Gli3<Xt-J>	involves: BALB/cJ * C3H/HeJ * C57BL/6J	ht	MP:0002082	postnatal lethality
MGI:95729	Gli3	Gli3<tm1Blnw>/Gli3<Xt-J>	involves: 129S1/Sv * 129X1/SvJ * C3H/HeJ * C57BL/6	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95739	Glul	Glul<tm1Whla>/Glul<tm2Whla>	involves: 129P2/OlaHsd	ht	MP:0011097	embryonic lethality between somite formation and embryo turning, complete penetrance
MGI:95775	Gnao1	Gnao1<tm2.1Rneu>/Gnao1<+>	B6.129S-Gnao1<tm2.1Rneu>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<Oedsml>/Gnas<+>	involves: 101/H * C3H/HeH	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95777	Gnas	Gnas<Oedsml>/Gnas<+>	involves: 101/H * C3H/HeH	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<Oedsml>/Gnas<+>	involves: 101/H * C3H/HeH * M. m. castaneus	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95777	Gnas	Gnas<tm1.1Plag>/Gnas<+>	involves: 129S4/SvJae * C57BL/6 * C57BL/6J * SJL	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm1.1Plag>/Gnas<+>	involves: 129S4/SvJae * C57BL/6 * CD-1 * SJL	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm1.2Plag>/Gnas<+>	involves: 129S4/SvJae * BALB/cJ * C57BL/6 * CD-1 * SJL	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm1Kel>/Gnas<+>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95777	Gnas	Gnas<tm1Kel>/Gnas<+>	involves: 129S2/SvPas * C57BL/6J * CD-1	ht	MP:0002082	postnatal lethality
MGI:95777	Gnas	Gnas<tm1Lsw>/Gnas<+>	involves: 129S4/SvJae * CD-1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm1Lsw>/Gnas<+>	involves: 129S4/SvJae * CD-1	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm2Jop>/Gnas<+>	involves: 129S/SvEv	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm3Jop>/Gnas<+>	involves: 129S/SvEv	ht	MP:0011086	postnatal lethality, incomplete penetrance
